record_id,batch,continent,zone,item_name,item_category,slot,equippable,inventory_only,magic,lore,no_drop,quest_item,weight,size,classes_classic,races_classic,stats_raw,damage,delay,weapon_skill,proc_click_focus,source_npc,source_npc_level,source_npc_class,source_npc_race_type,placeholder,placeholder_level_range,nearby_enemy_level_range,spawn_type,spawn_location,respawn_timer,time_condition,special_abilities,social_or_add_risk,faction_consequences,drop_frequency,drop_rate_reported,drop_notes,era_status,tlp_status,legends_status,best_for_classes,best_for_archetypes,general_value_notes,personal_build_notes,effect_transfer_value,target_priority_general,duplicate_item_group,inclusion_reason,source_scope,core_or_supplemental,data_confidence,source_primary,source_secondary,research_notes,approved,revision,stats_classic,stats_eql,classes_eql,races_eql,source_npc_level_classic,source_npc_level_eql,eql_verification_status,eql_audit_action,eql_npc_confirmed,eql_item_confirmed,eql_drop_source_confirmed,eql_stats_match,eql_classes_match,eql_races_match,eql_effect_match,eql_spawn_match,eql_era_status,eql_wiki_source,eql_official_source,eql_last_checked,eql_changes_summary,eql_verification_notes
B01-OAS-003,1,Antonica,Oasis of Marr,Fine Silk Turban,Armor,Head,Yes,No,Yes,,,,0.3,,All,All,AC 10; FR +10,,,,Focus: Reagent Conservation II,Hatar,21,Warrior,Giant,,,,Named outdoor giant,"Approximately 2385, 1300",,,,,,Unknown / likely one of two primary drops,,,Classic,Likely,Candidate,All,All; fire resist; lightweight armor,Excellent universal lightweight head armor and fire-resist piece,Strong for all three proposed classes,High,Very High,Fine Silk Turban,Universal high-value named armor drop,Named outdoor drop,Core,High,https://wiki.project1999.com/Hatar,,,Yes,3,AC 10; FR +10,AC 10; FR +10,All,All,21,21,EQL Confirmed — Modified,Correct,Yes,Yes,Yes,Yes,Yes,Yes,No — EQL adds focus,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Oasis_of_Marr,,2026-07-21,Added EQL focus effect Reagent Conservation II.,
B01-OAS-004,1,Antonica,Oasis of Marr,Jambiya,Weapon,Primary / Secondary,Yes,No,Yes,,,,5.0,,"WAR, RNG, SHD, BRD, ROG, NEC, WIZ, MAG, ENC",,7 damage / 26 delay,7,26,Piercing,,Hatar,21,Warrior,Giant,,,,Named outdoor giant,"Approximately 2385, 1300",,,,,,Unknown / likely one of two primary drops,,,Classic,Likely,Candidate,"Warrior, Ranger, Shadow Knight, Bard, Rogue, Necromancer, Wizard, Magician, Enchanter",Early piercing; INT caster weapon access,"Broadly usable magical piercing weapon, including pure INT casters",Usable by Necromancer side,None known,High,Jambiya,Unusual caster-accessible named weapon,Named outdoor drop,Core,High,https://wiki.project1999.com/Hatar,,,Yes,3,7 damage / 26 delay,7 damage / 26 delay,"WAR, RNG, SHD, BRD, ROG, NEC, WIZ, MAG, ENC",,21,21,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Oasis_of_Marr,,2026-07-21,,
B01-OAS-005,1,Antonica,Oasis of Marr,Spoon,Epic quest item,Inventory,No,Yes,Yes,Yes,,Yes,0.1,,All,All,,,,,,Cazel,51,Warrior,Giant,,,,High-level roaming named,,,,"Approximately 9,750 HP; summons; rapid regeneration",,,Unknown,,Enchanter epic component,Kunark epic relevance,Kunark-era quest dependent,Unknown,Enchanter,Epic progression,Major epic component from a notable outdoor giant,No direct relevance,Indirect through epic reward,High for Enchanters,Spoon,Class epic component from notable outdoor named,Named outdoor drop,Core,High,https://wiki.project1999.com/Cazel,,,Yes,3,,,All,All,51,51,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Oasis_of_Marr,,2026-07-21,,
B01-OAS-006,1,Antonica,Oasis of Marr,Lambent Stone,Class armor quest item,Inventory,No,Yes,Yes,Yes,,Yes,0.1,,All,All,,,,,,Cazel,51,Warrior,Giant,,,,High-level roaming named,,,,"Approximately 9,750 HP; summons; rapid regeneration",,,Always on cited table,100%,Bard Lambent armor quest component,Classic quest component,Likely,Unknown,Bard,Class armor quest progression,Important bard armor quest component,No direct relevance,Indirect through quest reward,High for Bards,Lambent Stone,Important class armor quest component,Named outdoor drop,Core,High,https://wiki.project1999.com/Cazel,,,Yes,3,,,All,All,51,51,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Oasis_of_Marr,,2026-07-21,,
B01-OAS-007,1,Antonica,Oasis of Marr,Essence of Sunlight,Quest item,Inventory,No,Yes,Yes,,,Yes,0.1,,All,All,,,,,,Cazel,51,Warrior,Giant,,,,High-level roaming named,,,,"Approximately 9,750 HP; summons; rapid regeneration",,,Unknown / inconsistent generated representation,,,Classic quest component,Likely,Unknown,Relevant class quest users,Quest progression,Recognizable class-quest material from a notable outdoor giant,Potential Druid-related quest relevance depending implementation,Indirect through quest reward,Medium,Essence of Sunlight,Important class quest material,Named outdoor drop,Core,Medium-High,https://wiki.project1999.com/Cazel,,,Yes,3,,,All,All,51,51,EQL Confirmed,Keep,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Oasis_of_Marr,,2026-07-21,,
B01-OAS-008,1,Antonica,Oasis of Marr,Rune of Scale,Research / quest item,Inventory,No,Yes,Yes,Yes,Yes,Yes,0.1,,Wizard,"Human, Erudite, High Elf, Dark Elf, Gnome",,,,,,deepwater caiman and deepwater crocodile,15-17 and 17-22,,Crocodile,,,"Approximately 11-22, with higher roaming threats in zone",Common higher-level crocodile drop,,,,,,,Unknown,,,Classic,Likely,Unknown,"Druid, Wizard",Spell research; class questing,Narrow but important Wizard-specific outdoor drop,No direct relevance,None,Medium for Wizards,Rune of Scale,Class-specific research/quest component,Common outdoor mob drop,Core,High,https://wiki.project1999.com/Oasis_of_Marr,,,Yes,3,,,"Druid, Wizard","Human, Erudite, High Elf, Dark Elf, Gnome",15-17 and 17-22,15-17 and 17-22,EQL Confirmed — Modified,Correct,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Oasis_of_Marr,,2026-07-21,"EQL Wiki lists Druid and Wizard, not Wizard only.",
B01-OAS-009,1,Antonica,Oasis of Marr,Torn Sash,Quest armor component,Waist,Yes,No,Yes,Yes,Yes,Yes,1.0,,Monk,"Human, Iksar",CHA -1; AGI +1,,,,,a young ronin,13-16,Monk,Human,,,,Named camp spawn,Southernmost western dervish camp,6:40,,,,,Rare,About 25% cited,Monk Shackle of Rock quest component,Confirmed current EQL availability; traditional Kunark association retained in notes,Current EQL source confirmed,Unknown,Monk,Monk quest progression,Low-stat worn item primarily important as a monk quest component,Relevant to Monk side if included,Indirect through quest reward,Medium for Monks,Torn Sash,Class-specific quest component and named outdoor spawn,Named outdoor drop,Core,High,https://wiki.project1999.com/A_young_ronin,,,Yes,3,CHA -1; AGI +1,CHA -1; AGI +1,Monk,"Human, Iksar",16,13-16,EQL Confirmed — Modified,Correct,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confirmed current EQL availability,https://eqlwiki.com/Oasis_of_Marr,,2026-07-21,Current EQL Wiki confirms the Oasis source and level range 13-16.,
B01-NRO-006,1,Antonica,Northern Desert of Ro,Dragoon Dirk,Weapon,Range / Primary / Secondary,Yes,No,Yes,Yes,,,2.5,,,,6 damage / 23 delay; DEX +2; MR +3; Backstab Damage 6,6,23,Piercing,,Dorn B'Dynn,14-16,Shadow Knight,Dark Elf,,,,Named outdoor camp target,,,,,,,,,,,,,Martial classes and INT casters,Fast magical piercing; caster-accessible weapon,Early magical piercing weapon with broad caster access and range-slot utility,Relevant to Necromancer side,None known,High,Dragoon Dirk,EQL-confirmed notable named weapon omitted from classic-first pass,Named outdoor drop,Core,High,https://eqlwiki.com/Northern_Desert_of_Ro,,,Yes,3,,6 damage / 23 delay; DEX +2; MR +3; Backstab Damage 6,"WAR, RNG, SHD, BRD, ROG, NEC, WIZ, MAG, ENC",All,,14-16,EQL Confirmed,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Northern_Desert_of_Ro,,2026-07-21,New EQL-audit addition.,Also used in the Leatherfoot Raiders quest.
B01-SRO-011,1,Antonica,Southern Desert of Ro,Pickbringers Chainmail Coif,Armor,Head,Yes,No,Yes,,,,3.5,,,,AC 8; MR +1,,,,,orc warrior,Varies by orc warrior source,Warrior,Orc,,,,Outdoor orc source,,,,,,,,,,,,,Plate and chain martial/priest classes,Restricted early armor; magic resistance,EQL-listed magical head armor with restrictive race profile,,,Medium,Pickbringers Chainmail Coif,EQL-specific notable equippable armor omitted from classic-first pass,Common outdoor creature drop,Core,High item / Medium source-level,https://eqlwiki.com/Southern_Desert_of_Ro,,,Yes,3,,AC 8; MR +1,"WAR, CLR, PAL, RNG, SHD, BRD, ROG","ELF, HIE, DEF, DWF, HFL, GNM",,Varies by source,EQL Confirmed,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Southern_Desert_of_Ro,,2026-07-21,New EQL-audit addition.,
B01-SRO-012,1,Antonica,Southern Desert of Ro,Pickbringers Chainmail Faceguard,Armor,Face,Yes,No,Yes,,,,0.8,,,,AC 3; WIS +1,,,,,orc warrior,Varies by orc warrior source,Warrior,Orc,,,,Outdoor orc source,,,,,,,,,,,,,Plate and chain martial/priest classes,Restricted early armor; WIS,EQL-listed magical face armor with restrictive race profile,,,Medium,Pickbringers Chainmail Faceguard,EQL-specific notable equippable armor omitted from classic-first pass,Common outdoor creature drop,Core,High item / Medium source-level,https://eqlwiki.com/Southern_Desert_of_Ro,,,Yes,3,,AC 3; WIS +1,"WAR, CLR, PAL, RNG, SHD, BRD, ROG","ELF, HIE, DEF, DWF, HFL, GNM",,Varies by source,EQL Confirmed,Add,Yes,Yes,Yes,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,EQL is primary for new row,Yes,Confirmed in current EQL Wiki,https://eqlwiki.com/Southern_Desert_of_Ro,,2026-07-21,New EQL-audit addition.,
